"","date","R","t_end","lower","upper"
"279",2021-05-22,0.700085142456016,294,0.631385473877236,0.77604626130222
"280",2021-05-23,0.685980482155566,295,0.619645036358942,0.763889816571306
"281",2021-05-24,0.669927638246864,296,0.604522532932847,0.746914516646969
"282",2021-05-25,0.655518126284311,297,0.590022697828319,0.726712913637062
"283",2021-05-26,0.637533766027863,298,0.572919017274681,0.709202832987197
"284",2021-05-27,0.623114505155028,299,0.56046977084944,0.692176674808958
"285",2021-05-28,0.608308516914192,300,0.54644691638238,0.675270167788727
"286",2021-05-29,0.590772141302622,301,0.533563322423489,0.654694733479009
"287",2021-05-30,0.57365068450207,302,0.516272839626267,0.635921561784056
"288",2021-05-31,0.556470678189019,303,0.499932026479022,0.614563060253393
"289",2021-06-01,0.539030809238163,304,0.484166608136453,0.595864175512999
"290",2021-06-02,0.522637030040069,305,0.469360636758556,0.578362676775857
"291",2021-06-03,0.506308025430224,306,0.454521624773296,0.562402618373537
"292",2021-06-04,0.487402516259845,307,0.437462598024333,0.543558261888543
"293",2021-06-05,0.46774484057819,308,0.417117974634839,0.518825329249927
"294",2021-06-06,0.452993157737052,309,0.405804006153271,0.501755548920098
"295",2021-06-07,0.440101671205439,310,0.395131989148536,0.489844584759701
"296",2021-06-08,0.430186230213552,311,0.385286225949582,0.479502355154174
"297",2021-06-09,0.423695432316198,312,0.38129468124286,0.472366685208111
"298",2021-06-10,0.417186909674227,313,0.372379591306318,0.465173628676962
"299",2021-06-11,0.409157497873049,314,0.36613354342391,0.45622833094238
"300",2021-06-12,0.401718962475229,315,0.358135296187426,0.448095098289841
"301",2021-06-13,0.395131945203436,316,0.353548768352603,0.439736195620988
"302",2021-06-14,0.390490544890911,317,0.34891021499766,0.434561121942064
"303",2021-06-15,0.389932165984929,318,0.347647380747517,0.434210409528836
"304",2021-06-16,0.391975910359985,319,0.348900537038271,0.4379792677652
"305",2021-06-17,0.393844643488811,320,0.353373576801943,0.442125023135225
"306",2021-06-18,0.396687947753459,321,0.355321464510935,0.442966309864828
"307",2021-06-19,0.401990726397864,322,0.359279247423675,0.447037071321373
"308",2021-06-20,0.408187243317983,323,0.363815478456555,0.45464249596209
"309",2021-06-21,0.414986153293268,324,0.370434451967193,0.462932343486935
"310",2021-06-22,0.422551543046136,325,0.377688964347669,0.471845552696419
"311",2021-06-23,0.431201476974561,326,0.385309130787062,0.480745062143184
"312",2021-06-24,0.438218222393025,327,0.392241154454481,0.489829342056747
"313",2021-06-25,0.453207538667428,328,0.405695677259607,0.505471012409352
"314",2021-06-26,0.466060796246754,329,0.415327837180654,0.520044270253703
"315",2021-06-27,0.481440692712269,330,0.428911869019519,0.539022173256288
"316",2021-06-28,0.508339635229952,331,0.454070319658305,0.568002306412732
"317",2021-06-29,0.53217526313583,332,0.473253029957892,0.595948344909148
"318",2021-06-30,0.555884400602111,333,0.493897281420315,0.621324896459276
